"";"sex";"age";"period";"CancerCM";"POP"
"679";1;18;31;105;2094964
"680";1;18;32;101;2086190
"681";1;18;33;91;2106674
"682";1;18;34;102;2113324
"683";1;18;35;106;2109474
"684";1;18;36;103;2141961
"685";1;19;1;167;1939069
"686";1;19;2;156;1995159
"687";1;19;3;174;2052366
"688";1;19;4;185;2103515
"689";1;19;5;149;2139153
"690";1;19;6;169;2228971
"691";1;19;7;191;2242052
"692";1;19;8;162;2246605
"693";1;19;9;164;2254143
"694";1;19;10;159;2256718
"695";1;19;11;173;2219494
"696";1;19;12;142;2192371
"697";1;19;13;141;2183824
"698";1;19;14;144;2102844
"699";1;19;15;134;2001312
"700";1;19;16;106;1956829
"701";1;19;17;106;1929245
"702";1;19;18;118;1982760
"703";1;19;19;98;2045844
"704";1;19;20;128;2089068
"705";1;19;21;110;1938000
"706";1;19;22;102;1833584
"707";1;19;23;96;1799848
"708";1;19;24;98;1846042
"709";1;19;25;115;1827005
"710";1;19;26;87;1911973
"711";1;19;27;110;1934485
"712";1;19;28;100;1996736
"713";1;19;29;110;2093611
"714";1;19;30;99;2097650
"715";1;19;31;125;2102676
"716";1;19;32;105;2113232
"717";1;19;33;96;2104214
"718";1;19;34;101;2133076
"719";1;19;35;108;2129819
"720";1;19;36;105;2126203
"721";1;20;1;179;1924352
"722";1;20;2;212;1977039
"723";1;20;3;185;2027942
"724";1;20;4;191;2079336
"725";1;20;5;189;2125555
"726";1;20;6;159;2153490
"727";1;20;7;144;2236042
"728";1;20;8;182;2244121
"729";1;20;9;182;2242660
"730";1;20;10;193;2193229
"731";1;20;11;167;2240640
"732";1;20;12;144;2203476
"733";1;20;13;137;2184736
"734";1;20;14;149;2174402
"735";1;20;15;133;2092501
"736";1;20;16;145;1996536
"737";1;20;17;136;1954505
"738";1;20;18;107;1929830
"739";1;20;19;109;1985377
"740";1;20;20;125;2070240
"741";1;20;21;116;2073477
"742";1;20;22;111;1943266
"743";1;20;23;103;1841650
"744";1;20;24;106;1808795
"745";1;20;25;112;1858240
"746";1;20;26;123;1841061
"747";1;20;27;114;1926510
"748";1;20;28;119;1948219
"749";1;20;29;125;2010201
"750";1;20;30;122;2088420
"751";1;20;31;135;2117623
"752";1;20;32;116;2123813
"753";1;20;33;101;2134231
"754";1;20;34;98;2105454
"755";1;20;35;95;2151388
"756";1;20;36;103;2149332
"757";1;21;1;181;1798547
"758";1;21;2;184;1875145
"759";1;21;3;171;1927896
"760";1;21;4;182;1978049
"761";1;21;5;142;2030220
"762";1;21;6;165;2075205
"763";1;21;7;176;2102784
"764";1;21;8;176;2186210
"765";1;21;9;166;2196820
"766";1;21;10;178;2151134
"767";1;21;11;163;2157024
"768";1;21;12;161;2202593
"769";1;21;13;145;2172377
"770";1;21;14;131;2153429
"771";1;21;15;128;2139309
"772";1;21;16;135;2068243
"773";1;21;17;118;1974026
"774";1;21;18;127;1935690
"775";1;21;19;125;1913657
"776";1;21;20;130;1961407
"777";1;21;21;128;2021261
"778";1;21;22;134;2041267
"779";1;21;23;116;1910241
"780";1;21;24;128;1811095
"781";1;21;25;106;1781728
"782";1;21;26;98;1828831
"783";1;21;27;101;1817976
"784";1;21;28;110;1901493
"785";1;21;29;107;1924961
"786";1;21;30;126;1998848
"787";1;21;31;109;2110083
"788";1;21;32;113;2140044
"789";1;21;33;106;2145868
"790";1;21;34;107;2148429
"791";1;21;35;118;2123880
"792";1;21;36;113;2170676
"793";1;22;1;205;1759447
"794";1;22;2;202;1761503
"795";1;22;3;198;1838574
"796";1;22;4;171;1891536
"797";1;22;5;182;1943597
"798";1;22;6;175;1995727
"799";1;22;7;206;2041230
"800";1;22;8;173;2071583
"801";1;22;9;195;2157740
"802";1;22;10;172;2142121
"803";1;22;11;160;2142732
"804";1;22;12;159;2142616
"805";1;22;13;165;2185733
"806";1;22;14;181;2150675
"807";1;22;15;149;2125270
"808";1;22;16;162;2110505
"809";1;22;17;132;2033408
"810";1;22;18;114;1939214
"811";1;22;19;108;1898401
"812";1;22;20;126;1873650
"813";1;22;21;130;1907928
"814";1;22;22;140;1981257
"815";1;22;23;131;1995223
"816";1;22;24;121;1871255
"817";1;22;25;107;1780162
"818";1;22;26;99;1752526
"819";1;22;27;112;1806961
"820";1;22;28;112;1801726
"821";1;22;29;116;1887040
"822";1;22;30;110;1943273
"823";1;22;31;124;2021153
"824";1;22;32;123;2132160
"825";1;22;33;107;2162564
"826";1;22;34;140;2157075
"827";1;22;35;132;2166794
"828";1;22;36;110;2142342
"829";1;23;1;203;1728507
"830";1;23;2;210;1735631
"831";1;23;3;187;1740925
"832";1;23;4;160;1819445
"833";1;23;5;191;1876070
"834";1;23;6;190;1929992
"835";1;23;7;191;1984536
"836";1;23;8;185;2034328
"837";1;23;9;189;2069888
"838";1;23;10;202;2133812
"839";1;23;11;162;2146327
"840";1;23;12;184;2143712
"841";1;23;13;165;2143074
"842";1;23;14;173;2180344
"843";1;23;15;186;2143938
"844";1;23;16;156;2119926
"845";1;23;17;169;2097596
"846";1;23;18;145;2020854
"847";1;23;19;142;1925157
"848";1;23;20;134;1884211
"849";1;23;21;127;1857482
"850";1;23;22;126;1903884
